GO:0106414	mRNA dihydrouridine synthase activity	56931
GO:0030292	protein tyrosine kinase inhibitor activity	9021
GO:0030292	protein tyrosine kinase inhibitor activity	25998
GO:0030292	protein tyrosine kinase inhibitor activity	11116
GO:0050839	cell adhesion molecule binding	8170
GO:0050839	cell adhesion molecule binding	9378
GO:0050839	cell adhesion molecule binding	3689
GO:0050839	cell adhesion molecule binding	9379
GO:0050839	cell adhesion molecule binding	57555
GO:0050839	cell adhesion molecule binding	22859
GO:0050839	cell adhesion molecule binding	3683
GO:0050839	cell adhesion molecule binding	54413
GO:0050839	cell adhesion molecule binding	57451
GO:0050839	cell adhesion molecule binding	7412
GO:0050839	cell adhesion molecule binding	27020
GO:0050839	cell adhesion molecule binding	22871
GO:0050839	cell adhesion molecule binding	2244
GO:0050839	cell adhesion molecule binding	53841
GO:0050839	cell adhesion molecule binding	54825
GO:0050839	cell adhesion molecule binding	3676
GO:0050839	cell adhesion molecule binding	5789
GO:0050839	cell adhesion molecule binding	2243
GO:0030294	receptor signaling protein tyrosine kinase inhibitor activity	8692
GO:0030295	protein kinase activator activity	5151
GO:0030295	protein kinase activator activity	57521
GO:0030295	protein kinase activator activity	5604
GO:0030295	protein kinase activator activity	23542
GO:0030295	protein kinase activator activity	245711
GO:0030295	protein kinase activator activity	1616
GO:0030295	protein kinase activator activity	91754
GO:0030295	protein kinase activator activity	51719
GO:0030295	protein kinase activator activity	6009
GO:0030295	protein kinase activator activity	51776
GO:0030295	protein kinase activator activity	65125
GO:0030295	protein kinase activator activity	3071
GO:0030295	protein kinase activator activity	28984
GO:0030295	protein kinase activator activity	7481
GO:0030295	protein kinase activator activity	116986
GO:0030295	protein kinase activator activity	3643
GO:0030295	protein kinase activator activity	8575
GO:0030295	protein kinase activator activity	142679
GO:0030295	protein kinase activator activity	92335
GO:0030295	protein kinase activator activity	6794
GO:0030295	protein kinase activator activity	51704
GO:0030295	protein kinase activator activity	80174
GO:0030295	protein kinase activator activity	4504
GO:0030295	protein kinase activator activity	51422
GO:0030296	protein tyrosine kinase activator activity	10006
GO:0030296	protein tyrosine kinase activator activity	2915
GO:0030296	protein tyrosine kinase activator activity	5062
GO:0030296	protein tyrosine kinase activator activity	84632
GO:0030296	protein tyrosine kinase activator activity	3572
GO:0030296	protein tyrosine kinase activator activity	26228
GO:0030296	protein tyrosine kinase activator activity	1956
GO:0030296	protein tyrosine kinase activator activity	51738
GO:0030296	protein tyrosine kinase activator activity	3084
GO:0030296	protein tyrosine kinase activator activity	2065
GO:0030296	protein tyrosine kinase activator activity	2074
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	1609
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	26585
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	1839
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	2069
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	1950
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	685
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	374
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	7422
GO:0004632	phosphopantothenate--cysteine ligase activity	79717
GO:0004516	nicotinate phosphoribosyltransferase activity	93100
GO:0042030	ATPase inhibitor activity	96459
GO:0042030	ATPase inhibitor activity	57600
GO:0042030	ATPase inhibitor activity	7248
GO:0042030	ATPase inhibitor activity	93974
GO:0042030	ATPase inhibitor activity	5350
GO:0097177	mitochondrial ribosome binding	5018
GO:0097177	mitochondrial ribosome binding	23107
GO:0097177	mitochondrial ribosome binding	708
GO:0097177	mitochondrial ribosome binding	79064
GO:0046625	sphingolipid binding	11331
GO:0046625	sphingolipid binding	7186
GO:0004517	nitric-oxide synthase activity	4846
GO:0004517	nitric-oxide synthase activity	4842
GO:0004517	nitric-oxide synthase activity	4843
GO:0004142	diacylglycerol cholinephosphotransferase activity	10390
GO:0004142	diacylglycerol cholinephosphotransferase activity	56994
GO:0030492	hemoglobin binding	3043
GO:0030492	hemoglobin binding	3240
GO:0051787	misfolded protein binding	4189
GO:0051787	misfolded protein binding	23753
GO:0051787	misfolded protein binding	10273
GO:0051787	misfolded protein binding	1191
GO:0051787	misfolded protein binding	51726
GO:0051787	misfolded protein binding	54431
GO:0051787	misfolded protein binding	3309
GO:0051787	misfolded protein binding	10013
GO:0051787	misfolded protein binding	9695
GO:0051787	misfolded protein binding	7917
GO:0051787	misfolded protein binding	6388
GO:0051786	all-trans-retinol 13,14-reductase activity	54884
GO:0140978	mitochondrial large ribosomal subunit binding	4706
GO:0140978	mitochondrial large ribosomal subunit binding	115416
GO:0031078	histone H3K14 deacetylase activity	9734
GO:0031812	P2Y1 nucleotide receptor binding	1742
GO:0017002	activin receptor activity	91
GO:0017002	activin receptor activity	92
GO:0031072	heat shock protein binding	10049
GO:0031072	heat shock protein binding	54880
GO:0031072	heat shock protein binding	57026
GO:0031072	heat shock protein binding	7175
GO:0031072	heat shock protein binding	11124
GO:0031072	heat shock protein binding	7538
GO:0031072	heat shock protein binding	3984
GO:0031072	heat shock protein binding	3297
GO:0031072	heat shock protein binding	9829
GO:0031071	cysteine desulfurase activity	9054
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	5959
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity	10170
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4303
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7021
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8625
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	283150
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	22806
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2969
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7071
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6722
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6720
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3659
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	22877
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2099
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4782
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4212
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4223
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	51176
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4605
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8092
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7020
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4901
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4602
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7593
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4603
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	401
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	404281
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1316
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7391
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7392
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	10725
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	23764
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	79977
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1871
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5994
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	50674
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3131
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5993
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5992
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8022
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5468
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7589
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1959
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1958
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2551
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	11108
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6659
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6018
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7728
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1999
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1388
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9575
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1385
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1386
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6257
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	642658
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6910
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	988
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5013
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5015
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	169792
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2908
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	54897
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7572
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1482
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4208
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4656
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	23300
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8521
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4205
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2309
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2308
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6926
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4286
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	91975
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4807
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6662
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8013
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2303
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2302
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6666
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6667
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6664
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2306
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9464
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2078
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4781
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	367
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	89884
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4780
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1406
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5966
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	22926
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	55922
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3661
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3660
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3663
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3662
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	79800
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	100288687
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5326
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7022
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5324
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5325
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7027
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	100271849
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6938
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9314
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7629
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7528
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	23314
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	25988
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	137814
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6297
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5089
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6778
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	116039
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6774
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5080
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1649
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6689
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7709
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6473
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3091
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	29841
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	79191
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5970
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7544
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7547
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2299
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9889
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	84662
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7161
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2296
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7799
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1877
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1874
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8609
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3298
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	79755
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1870
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3169
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6925
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3164
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3297
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	55810
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7029
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5396
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	84699
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3217
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3211
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3212
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3213
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7490
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3516
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4821
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2118
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2119
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	266743
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6929
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9970
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3087
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2113
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2115
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	27287
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2623
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3607
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9971
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2625
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	467
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	466
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	10002
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	28999
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	84839
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4774
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4775
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4772
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4609
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	22809
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3725
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3172
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3174
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4779
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3206
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3204
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3202
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1997
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4654
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	861
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	11063
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1628
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6927
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4520
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7716
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	205717
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1749
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	55893
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2103
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2353
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	22887
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2355
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6495
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	140690
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6496
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7702
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4086
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4087
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4088
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4089
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	222546
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	153222
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7376
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	26298
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4760
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	57822
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	64321
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6943
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2626
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4613
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5459
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9189
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3232
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3233
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1053
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1054
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3234
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4929
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3239
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1961
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5359
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5457
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	10488
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6945
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4899
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6777
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	9421
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	170302
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	90993
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1050
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7182
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4009
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	121340
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7023
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	50943
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	51193
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5458
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	54345
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4801
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4790
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	4791
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	8538
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7543
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1046
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	7342
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1044
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	3227
