BIANA ID	UniProt ID	Gene Symbol	Seed	Description	Gene ID	Equivalent Entries	GUILD Score	Degree
46924	Q9Y3I1	FBXO7	1	RecName: Full=F-box only protein 7;	25793	-	0.760864	350
24727	O95793	STAU1	1	RecName: Full=Double-stranded RNA-binding protein Staufen homolog 1;	6780	-	0.746245	1026
13970	O00206	TLR4	1	RecName: Full=Toll-like receptor 4; AltName: Full=hToll; AltName: CD_antigen=CD284; Flags: Precursor;	7099	-	0.744479	11
15850	Q9NPH5	NOX4	1	RecName: Full=NADPH oxidase 4; EC=1.6.3.1 {ECO:0000269|PubMed:14966267, ECO:0000269|PubMed:15356101, ECO:0000269|PubMed:15927447, ECO:0000269|PubMed:21343298, ECO:0000269|PubMed:25062272}; AltName: Full=Kidney oxidase-1; Short=KOX-1; AltName: Full=Kidney superoxide-producing NADPH oxidase; AltName: Full=Renal NAD(P)H-oxidase;	50507	-	0.738085	1
10388	P05198	EIF2S1	1	RecName: Full=Eukaryotic translation initiation factor 2 subunit 1; AltName: Full=Eukaryotic translation initiation factor 2 subunit alpha; Short=eIF-2-alpha; Short=eIF-2A; Short=eIF-2alpha; Short=eIF2-alpha;	1965	-	0.737398	1171
9157	P30041	PRDX6	1	RecName: Full=Peroxiredoxin-6; EC=1.11.1.27 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:9497358}; AltName: Full=1-Cys peroxiredoxin; Short=1-Cys PRX; AltName: Full=24 kDa protein; AltName: Full=Acidic calcium-independent phospholipase A2; Short=aiPLA2; EC=3.1.1.4 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:26830860}; AltName: Full=Antioxidant protein 2; AltName: Full=Glutathione-dependent peroxiredoxin {ECO:0000305}; AltName: Full=Liver 2D page spot 40; AltName: Full=Lysophosphatidylcholine acyltransferase 5 {ECO:0000303|PubMed:26830860}; Short=LPC acyltransferase 5; Short=LPCAT-5; Short=Lyso-PC acyltransferase 5; EC=2.3.1.23 {ECO:0000269|PubMed:26830860}; AltName: Full=Non-selenium glutathione peroxidase; Short=NSGPx; AltName: Full=Red blood cells page spot 12;	9588	-	0.735999	1314
9160	P32119	PRDX2	1	RecName: Full=Peroxiredoxin-2; EC=1.11.1.24 {ECO:0000269|PubMed:8554614, ECO:0000269|PubMed:9497357}; AltName: Full=Natural killer cell-enhancing factor B; Short=NKEF-B; AltName: Full=PRP; AltName: Full=Thiol-specific antioxidant protein; Short=TSA; AltName: Full=Thioredoxin peroxidase 1; AltName: Full=Thioredoxin-dependent peroxide reductase 1; AltName: Full=Thioredoxin-dependent peroxiredoxin 2 {ECO:0000305};	7001	-	0.725302	1048
16271	P31749	AKT1	1	RecName: Full=RAC-alpha serine/threonine-protein kinase; EC=2.7.11.1 {ECO:0000269|PubMed:12172553, ECO:0000269|PubMed:15861136, ECO:0000269|PubMed:32322062, ECO:0000269|PubMed:33594058}; AltName: Full=Protein kinase B; Short=PKB; AltName: Full=Protein kinase B alpha; Short=PKB alpha; AltName: Full=Proto-oncogene c-Akt; AltName: Full=RAC-PK-alpha;	207	-	0.722587	345
9852	P37840	SNCA	1	RecName: Full=Alpha-synuclein; AltName: Full=Non-A beta component of AD amyloid; AltName: Full=Non-A4 component of amyloid precursor; Short=NACP;	6622	-	0.720541	599
9155	P30048	PRDX3	1	RecName: Full=Thioredoxin-dependent peroxide reductase, mitochondrial; EC=1.11.1.24 {ECO:0000269|PubMed:17707404, ECO:0000269|PubMed:19462976}; AltName: Full=Antioxidant protein 1; Short=AOP-1; AltName: Full=HBC189; AltName: Full=Peroxiredoxin III; Short=Prx-III; AltName: Full=Peroxiredoxin-3; AltName: Full=Protein MER5 homolog; AltName: Full=Thioredoxin-dependent peroxiredoxin 3 {ECO:0000305}; Flags: Precursor;	10935	-	0.720029	1089
9334	Q06830	PRDX1	1	RecName: Full=Peroxiredoxin-1; EC=1.11.1.24 {ECO:0000269|PubMed:11986303, ECO:0000269|PubMed:9497357}; AltName: Full=Natural killer cell-enhancing factor A; Short=NKEF-A; AltName: Full=Proliferation-associated gene protein; Short=PAG; AltName: Full=Thioredoxin peroxidase 2; AltName: Full=Thioredoxin-dependent peroxide reductase 2; AltName: Full=Thioredoxin-dependent peroxiredoxin 1 {ECO:0000305};	5052	-	0.719824	863
16068	P07237	P4HB	1	RecName: Full=Protein disulfide-isomerase; Short=PDI; EC=5.3.4.1 {ECO:0000269|PubMed:32149426}; AltName: Full=Cellular thyroid hormone-binding protein; AltName: Full=Prolyl 4-hydroxylase subunit beta; AltName: Full=p55; Flags: Precursor;	5034	-	0.716614	596
31986	O60260	PRKN	1	RecName: Full=E3 ubiquitin-protein ligase parkin {ECO:0000305}; Short=Parkin; EC=2.3.2.31 {ECO:0000269|PubMed:23770887, ECO:0000269|PubMed:32047033}; AltName: Full=Parkin RBR E3 ubiquitin-protein ligase {ECO:0000312|HGNC:HGNC:8607}; AltName: Full=Parkinson juvenile disease protein 2; Short=Parkinson disease protein 2;	5071	-	0.715494	481
35791	Q15233	NONO	1	RecName: Full=Non-POU domain-containing octamer-binding protein {ECO:0000303|PubMed:9393982}; Short=NonO protein {ECO:0000303|PubMed:9393982}; AltName: Full=54 kDa nuclear RNA- and DNA-binding protein {ECO:0000303|PubMed:9341872}; Short=p54(nrb) {ECO:0000303|PubMed:9341872}; Short=p54nrb {ECO:0000303|PubMed:9341872}; AltName: Full=55 kDa nuclear protein {ECO:0000303|PubMed:9360842}; Short=NMT55 {ECO:0000303|PubMed:9360842}; AltName: Full=DNA-binding p52/p100 complex, 52 kDa subunit {ECO:0000303|PubMed:8439294};	4841	-	0.713628	917
26794	P23246	SFPQ	1	RecName: Full=Splicing factor, proline- and glutamine-rich; AltName: Full=100 kDa DNA-pairing protein; Short=hPOMp100; AltName: Full=DNA-binding p52/p100 complex, 100 kDa subunit; AltName: Full=Polypyrimidine tract-binding protein-associated-splicing factor {ECO:0000303|PubMed:9848648}; Short=PSF {ECO:0000303|PubMed:8449401}; Short=PTB-associated-splicing factor;	6421	-	0.713236	907
10096	P09429	HMGB1	1	RecName: Full=High mobility group protein B1; AltName: Full=High mobility group protein 1; Short=HMG-1;	3146	-	0.710483	868
32613	P29590	PML	1	RecName: Full=Protein PML; AltName: Full=E3 SUMO-protein ligase PML; EC=2.3.2.- {ECO:0000269|PubMed:20972456, ECO:0000269|PubMed:28250117}; AltName: Full=Promyelocytic leukemia protein; AltName: Full=RING finger protein 71; AltName: Full=RING-type E3 SUMO transferase PML {ECO:0000305}; AltName: Full=Tripartite motif-containing protein 19; Short=TRIM19;	5371	-	0.707702	465
8473	P52272	HNRNPM	1	RecName: Full=Heterogeneous nuclear ribonucleoprotein M; Short=hnRNP M;	4670	-	0.706672	757
15293	P32322	PYCR1	1	RecName: Full=Pyrroline-5-carboxylate reductase 1, mitochondrial; Short=P5C reductase 1; Short=P5CR 1; EC=1.5.1.2 {ECO:0000269|PubMed:16730026};	5831	-	0.705746	838
13766	P99999	CYCS	1	RecName: Full=Cytochrome c;	54205	-	0.703493	584
10399	Q96C36	PYCR2	1	RecName: Full=Pyrroline-5-carboxylate reductase 2; Short=P5C reductase 2; Short=P5CR 2; EC=1.5.1.2;	29920	-	0.702767	778
13210	Q02790	FKBP4	1	RecName: Full=Peptidyl-prolyl cis-trans isomerase FKBP4; Short=PPIase FKBP4; EC=5.2.1.8; AltName: Full=51 kDa FK506-binding protein; Short=FKBP51; AltName: Full=52 kDa FK506-binding protein; Short=52 kDa FKBP; Short=FKBP-52; AltName: Full=59 kDa immunophilin; Short=p59; AltName: Full=FK506-binding protein 4; Short=FKBP-4; AltName: Full=FKBP59; AltName: Full=HSP-binding immunophilin; Short=HBI; AltName: Full=Immunophilin FKBP52; AltName: Full=Rotamase; Contains: RecName: Full=Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;	2288	-	0.700919	692
6994	P23396	RPS3	1	RecName: Full=Small ribosomal subunit protein uS3 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S3 {ECO:0000303|PubMed:2129557}; EC=4.2.99.18 {ECO:0000269|PubMed:7775413};	6188	-	0.700026	725
15951	Q5S007	LRRK2	1	RecName: Full=Leucine-rich repeat serine/threonine-protein kinase 2; EC=2.7.11.1 {ECO:0000269|PubMed:26824392, ECO:0000269|PubMed:28720718, ECO:0000269|PubMed:29125462, ECO:0000269|PubMed:29127255, ECO:0000269|PubMed:29212815, ECO:0000269|PubMed:30398148, ECO:0000269|PubMed:30635421}; EC=3.6.5.- {ECO:0000269|PubMed:18230735, ECO:0000269|PubMed:26824392, ECO:0000269|PubMed:28720718, ECO:0000269|PubMed:29125462, ECO:0000269|PubMed:29212815}; AltName: Full=Dardarin;	120892	-	0.69934	231
15444	P00441	SOD1	1	RecName: Full=Superoxide dismutase [Cu-Zn] {ECO:0000305}; EC=1.15.1.1 {ECO:0000269|PubMed:24140062}; AltName: Full=Superoxide dismutase 1; Short=hSod1;	6647	-	0.697638	379
9929	P16615	ATP2A2	1	RecName: Full=Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 {ECO:0000305}; Short=SERCA2; Short=SR Ca(2+)-ATPase 2; EC=7.2.2.10 {ECO:0000269|PubMed:28890335}; AltName: Full=Calcium pump 2; AltName: Full=Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform; AltName: Full=Endoplasmic reticulum class 1/2 Ca(2+) ATPase;	488	-	0.697449	595
8346	Q99497	PARK7	1	RecName: Full=Parkinson disease protein 7 {ECO:0000305}; AltName: Full=Maillard deglycase {ECO:0000303|PubMed:28596309}; AltName: Full=Oncogene DJ1 {ECO:0000305}; AltName: Full=Parkinsonism-associated deglycase {ECO:0000312|HGNC:HGNC:16369}; AltName: Full=Protein DJ-1 {ECO:0000305}; Short=DJ-1; AltName: Full=Protein/nucleic acid deglycase DJ-1 {ECO:0000305|PubMed:25416785, ECO:0000305|PubMed:28596309}; EC=3.1.2.- {ECO:0000269|PubMed:25416785}; EC=3.5.1.- {ECO:0000269|PubMed:28596309}; EC=3.5.1.124 {ECO:0000269|PubMed:25416785}; Flags: Precursor;	11315	-	0.695948	389
8156	P27695	APEX1	1	RecName: Full=DNA repair nuclease/redox regulator APEX1; EC=3.1.11.2 {ECO:0000269|PubMed:11286553, ECO:0000269|PubMed:15380100, ECO:0000269|PubMed:19123919, ECO:0000269|PubMed:21762700}; EC=3.1.21.- {ECO:0000269|PubMed:9804799}; AltName: Full=APEX nuclease; Short=APEN; AltName: Full=Apurinic-apyrimidinic endonuclease 1; Short=AP endonuclease 1; Short=APE-1; AltName: Full=DNA-(apurinic or apyrimidinic site) endonuclease; AltName: Full=Redox factor-1; Short=REF-1; Contains: RecName: Full=DNA repair nuclease/redox regulator APEX1, mitochondrial;	328	-	0.694942	408
50356	Q9NR28	DIABLO	1	RecName: Full=Diablo IAP-binding mitochondrial protein {ECO:0000312|HGNC:HGNC:21528}; AltName: Full=Diablo homolog, mitochondrial {ECO:0000312|HGNC:HGNC:21528}; AltName: Full=Direct IAP-binding protein with low pI {ECO:0000312|HGNC:HGNC:21528}; AltName: Full=Second mitochondria-derived activator of caspases {ECO:0000303|PubMed:10929711}; Short=SMAC {ECO:0000303|PubMed:10929711}; Contains: RecName: Full=Diablo IAP-binding mitochondrial protein, cleaved form; Flags: Precursor;	56616	-	0.692884	522
42833	Q9NZI8	IGF2BP1	1	RecName: Full=Insulin-like growth factor 2 mRNA-binding protein 1; Short=IGF2 mRNA-binding protein 1; Short=IMP-1; Short=IMP1; AltName: Full=Coding region determinant-binding protein; Short=CRD-BP; AltName: Full=IGF-II mRNA-binding protein 1; AltName: Full=VICKZ family member 1; AltName: Full=Zipcode-binding protein 1; Short=ZBP-1;	10642	-	0.692801	648
8863	Q13162	PRDX4	1	RecName: Full=Peroxiredoxin-4; EC=1.11.1.24 {ECO:0000269|PubMed:21916849, ECO:0000269|PubMed:9388242}; AltName: Full=Antioxidant enzyme AOE372; Short=AOE37-2; AltName: Full=Peroxiredoxin IV; Short=Prx-IV; AltName: Full=Thioredoxin peroxidase AO372; AltName: Full=Thioredoxin-dependent peroxide reductase A0372; AltName: Full=Thioredoxin-dependent peroxiredoxin 4 {ECO:0000305}; Flags: Precursor;	10549	-	0.692774	453
30529	Q93062	RBPMS	1	RecName: Full=RNA-binding protein with multiple splicing {ECO:0000303|PubMed:8855282}; Short=RBP-MS {ECO:0000303|PubMed:8855282}; Short=RBPMS {ECO:0000303|PubMed:17099224}; AltName: Full=Heart and RRM expressed sequence {ECO:0000250|UniProtKB:Q9WVB0}; Short=Hermes {ECO:0000250|UniProtKB:Q9WVB0};	11030	-	0.691248	302
41598	P04264	KRT1	1	RecName: Full=Keratin, type II cytoskeletal 1; AltName: Full=67 kDa cytokeratin; AltName: Full=Cytokeratin-1; Short=CK-1; AltName: Full=Hair alpha protein; AltName: Full=Keratin-1; Short=K1; AltName: Full=Type-II keratin Kb1;	3848	-	0.690005	631
12211	Q15118	PDK1	1	RecName: Full=[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial; EC=2.7.11.2; AltName: Full=Pyruvate dehydrogenase kinase isoform 1; Short=PDH kinase 1; Flags: Precursor;	5163	-	0.688237	262
13712	P11413	G6PD	1	RecName: Full=Glucose-6-phosphate 1-dehydrogenase; Short=G6PD; EC=1.1.1.49 {ECO:0000269|PubMed:15858258, ECO:0000269|PubMed:24769394, ECO:0000269|PubMed:743300};	2539	-	0.686799	494
8363	P30044	PRDX5	1	RecName: Full=Peroxiredoxin-5, mitochondrial; EC=1.11.1.24 {ECO:0000269|PubMed:10751410}; AltName: Full=Alu corepressor 1; AltName: Full=Antioxidant enzyme B166; Short=AOEB166; AltName: Full=Liver tissue 2D-page spot 71B; AltName: Full=PLP; AltName: Full=Peroxiredoxin V; Short=Prx-V; AltName: Full=Peroxisomal antioxidant enzyme; AltName: Full=TPx type VI; AltName: Full=Thioredoxin peroxidase PMP20; AltName: Full=Thioredoxin-dependent peroxiredoxin 5 {ECO:0000305}; Flags: Precursor;	25824	-	0.686247	280
12002	P28074	PSMB5	1	RecName: Full=Proteasome subunit beta type-5 {ECO:0000305}; EC=3.4.25.1 {ECO:0000269|PubMed:27176742}; AltName: Full=Macropain epsilon chain; AltName: Full=Multicatalytic endopeptidase complex epsilon chain; AltName: Full=Proteasome chain 6; AltName: Full=Proteasome epsilon chain; AltName: Full=Proteasome subunit MB1; AltName: Full=Proteasome subunit X; AltName: Full=Proteasome subunit beta-5 {ECO:0000303|PubMed:23495936}; Short=beta-5 {ECO:0000303|PubMed:23495936}; Flags: Precursor;	5693	-	0.685232	483
8317	Q5VYK3	ECPAS	1	RecName: Full=Proteasome adapter and scaffold protein ECM29 {ECO:0000305}; AltName: Full=Ecm29 proteasome adapter and scaffold {ECO:0000312|HGNC:HGNC:29020}; AltName: Full=Proteasome-associated protein ECM29 homolog;	23392	-	0.685139	491
8412	Q96EB6	SIRT1	1	RecName: Full=NAD-dependent protein deacetylase sirtuin-1 {ECO:0000305}; Short=hSIRT1; EC=2.3.1.286 {ECO:0000255|PROSITE-ProRule:PRU00236, ECO:0000269|PubMed:12006491, ECO:0000269|PubMed:22918831, ECO:0000269|PubMed:30409912, ECO:0000269|PubMed:32034146}; AltName: Full=NAD-dependent protein deacylase sirtuin-1 {ECO:0000305}; EC=2.3.1.- {ECO:0000269|PubMed:28497810}; AltName: Full=Regulatory protein SIR2 homolog 1; AltName: Full=SIR2-like protein 1; Short=hSIR2; Contains: RecName: Full=SirtT1 75 kDa fragment {ECO:0000303|PubMed:21987377}; Short=75SirT1 {ECO:0000303|PubMed:21987377};	23411	-	0.683525	139
13209	P08254	MMP3	1	RecName: Full=Stromelysin-1; Short=SL-1; EC=3.4.24.17 {ECO:0000269|PubMed:1371271, ECO:0000269|PubMed:21330369}; AltName: Full=Matrix metalloproteinase-3; Short=MMP-3; AltName: Full=Transin-1; Flags: Precursor;	4314	-	0.683296	3
14640	P05771	PRKCB	1	RecName: Full=Protein kinase C beta type; Short=PKC-B; Short=PKC-beta; EC=2.7.11.13 {ECO:0000269|PubMed:20228790, ECO:0000269|PubMed:25313067, ECO:0000269|PubMed:25982116, ECO:0000269|PubMed:36040231};	5579	-	0.682484	435
14137	O43464	HTRA2	1	RecName: Full=Serine protease HTRA2, mitochondrial; EC=3.4.21.108; AltName: Full=High temperature requirement protein A2; Short=HtrA2; AltName: Full=Omi stress-regulated endoprotease; AltName: Full=Serine protease 25; AltName: Full=Serine proteinase OMI; Flags: Precursor;	27429	-	0.682432	189
14334	P53355	DAPK1	1	RecName: Full=Death-associated protein kinase 1; Short=DAP kinase 1; EC=2.7.11.1;	1612	-	0.682187	106
15632	Q12778	FOXO1	1	RecName: Full=Forkhead box protein O1 {ECO:0000305}; AltName: Full=Forkhead box protein O1A; AltName: Full=Forkhead in rhabdomyosarcoma {ECO:0000303|PubMed:8275086};	2308	-	0.682169	258
13692	Q16539	MAPK14	1	RecName: Full=Mitogen-activated protein kinase 14 {ECO:0000305}; Short=MAP kinase 14; Short=MAPK 14; EC=2.7.11.24 {ECO:0000269|PubMed:11010976, ECO:0000269|PubMed:15284239, ECO:0000269|PubMed:35857590, ECO:0000269|PubMed:7493921}; AltName: Full=Cytokine suppressive anti-inflammatory drug-binding protein; Short=CSAID-binding protein; Short=CSBP; AltName: Full=MAP kinase MXI2; AltName: Full=MAX-interacting protein 2; AltName: Full=Mitogen-activated protein kinase p38 alpha; Short=MAP kinase p38 alpha; AltName: Full=Stress-activated protein kinase 2a; Short=SAPK2a;	1432	-	0.680454	127
33771	P50479	PDLIM4	1	RecName: Full=PDZ and LIM domain protein 4; AltName: Full=LIM protein RIL; AltName: Full=Reversion-induced LIM protein;	8572	-	0.67925	319
14724	Q13131	PRKAA1	1	RecName: Full=5'-AMP-activated protein kinase catalytic subunit alpha-1; Short=AMPK subunit alpha-1; EC=2.7.11.1 {ECO:0000269|PubMed:32029622, ECO:0000269|PubMed:36732624, ECO:0000269|PubMed:37079666}; AltName: Full=Acetyl-CoA carboxylase kinase; Short=ACACA kinase; AltName: Full=Hydroxymethylglutaryl-CoA reductase kinase; Short=HMGCR kinase; EC=2.7.11.31 {ECO:0000250|UniProtKB:P54645}; AltName: Full=Tau-protein kinase PRKAA1; EC=2.7.11.26 {ECO:0000250|UniProtKB:P54645};	5562	-	0.678673	302
57525	P49419	ALDH7A1	1	RecName: Full=Alpha-aminoadipic semialdehyde dehydrogenase {ECO:0000305|PubMed:20207735}; Short=Alpha-AASA dehydrogenase {ECO:0000305|PubMed:16491085}; EC=1.2.1.31 {ECO:0000269|PubMed:16491085, ECO:0000269|PubMed:20207735}; AltName: Full=Aldehyde dehydrogenase family 7 member A1; EC=1.2.1.3 {ECO:0000269|PubMed:20207735, ECO:0000269|PubMed:21338592}; AltName: Full=Antiquitin-1; AltName: Full=Betaine aldehyde dehydrogenase; EC=1.2.1.8 {ECO:0000269|PubMed:20207735}; AltName: Full=Delta1-piperideine-6-carboxylate dehydrogenase; Short=P6c dehydrogenase; Flags: Precursor;	501	-	0.678569	253
45169	Q86SX6	GLRX5	1	RecName: Full=Glutaredoxin-related protein 5, mitochondrial; AltName: Full=Monothiol glutaredoxin-5; Flags: Precursor;	51218	-	0.678125	62
15806	P24941	CDK2	1	RecName: Full=Cyclin-dependent kinase 2; EC=2.7.11.22 {ECO:0000269|PubMed:1396589, ECO:0000269|PubMed:28216226, ECO:0000269|PubMed:28666995, ECO:0000269|PubMed:9030781}; AltName: Full=Cell division protein kinase 2; AltName: Full=p33 protein kinase;	1017	-	0.677991	183
14790	P30086	PEBP1	1	RecName: Full=Phosphatidylethanolamine-binding protein 1; Short=PEBP-1; AltName: Full=HCNPpp; AltName: Full=Neuropolypeptide h3; AltName: Full=Prostatic-binding protein; AltName: Full=Raf kinase inhibitor protein; Short=RKIP; Contains: RecName: Full=Hippocampal cholinergic neurostimulating peptide; Short=HCNP;	5037	-	0.677388	111
12277	Q06609	RAD51	1	RecName: Full=DNA repair protein RAD51 homolog 1 {ECO:0000305}; Short=HsRAD51; Short=hRAD51; AltName: Full=RAD51 homolog A;	5888	-	0.677176	69
15125	P00519	ABL1	1	RecName: Full=Tyrosine-protein kinase ABL1; EC=2.7.10.2 {ECO:0000269|PubMed:20357770, ECO:0000269|PubMed:28428613}; AltName: Full=Abelson murine leukemia viral oncogene homolog 1; AltName: Full=Abelson tyrosine-protein kinase 1; AltName: Full=Proto-oncogene c-Abl; AltName: Full=p150;	25	-	0.676734	109
